"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","PIM Tests","0","PIM Functionality","1","0","Navigate to PIM Page","0"
"0","Login Tests","0","Login Functionality","1","0","Empty Username","0"
"0","Login Tests","0","Login Functionality","1","0","Invalid Username","0"
"0","Login Tests","0","Login Functionality","1","0","Valid Login","0"
"0","Dashboard Tests","0","Dashboard Functionality","1","0","Click Leave Button","0"
"0","PIM Tests","0","PIM Functionality","1","0","check employee on employee list","0"
"0","Login Tests","0","Login Functionality","1","0","Empty Password","0"
"0","Dashboard Tests","0","Dashboard Functionality","1","0","Click Admin Button","0"
"0","Login Tests","0","Login Functionality","1","0","Empty Credentials","0"
"0","Dashboard Tests","0","Dashboard Functionality","1","0","Click My Info Button","0"
"0","Login Tests","0","Login Functionality","1","0","Invalid Password","0"
"0","Dashboard Tests","0","Dashboard Functionality","1","0","Click Directory Button","0"
"0","Dashboard Tests","0","Dashboard Functionality","1","0","Click Time Button","0"
"0","Dashboard Tests","0","Dashboard Functionality","1","0","Click Performance Button","0"
"0","Dashboard Tests","0","Dashboard Functionality","1","0","Navigate to Dashboard","0"
"0","Dashboard Tests","0","Dashboard Functionality","1","0","Click Recruitment Button","0"
"0","Login Tests","0","Login Functionality","1","0","User Logout","0"
"1","PIM Tests","0","PIM Functionality","0","0","Add New Employee","0"
"0","Dashboard Tests","0","Dashboard Functionality","1","0","Click PIM Button","0"
"1","PIM Tests","0","PIM Functionality","0","0","delete employee on employee list","0"
